2021-12-21/15:28:39		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/15:28:40		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/15:28:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/15:28:44		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/15:28:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/15:28:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/15:28:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/15:28:49		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/15:34:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/15:34:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/15:34:26		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/15:34:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/15:34:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/15:34:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/15:34:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/15:34:32		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/15:34:32		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/16:05:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/16:05:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/16:05:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/16:05:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/16:05:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/16:05:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/16:05:49		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/16:05:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/16:05:50		 wafer_29012020_050617.csv: File Transformed successfully!!
